172.17.0.1 - - [09/Dec/2019:03:44:21 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:06:07:05 +0000] "GET / HTTP/1.1" 500 69520 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.670"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:16:10 +0000] "GET / HTTP/1.1" 500 69521 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 1.200"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:16:10 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:06:17:15 +0000] "GET / HTTP/1.1" 500 69528 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.690"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:17:15 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET / HTTP/1.1" 200 1897 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.420"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/css/app.8f753023.css HTTP/1.1" 200 34078 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/app.8f753023.css"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/app.c1cb0639.js HTTP/1.1" 200 181996 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/app.c1cb0639.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/css/chunk-swipe.3755cb66.css HTTP/1.1" 200 16230 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/chunk-swipe.3755cb66.css"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/chunk-swipe.205be520.js HTTP/1.1" 200 96675 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-swipe.205be520.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/chunk-vendor.6313447a.js HTTP/1.1" 200 64186 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-vendor.6313447a.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/chunk-babel.a0b34017.js HTTP/1.1" 200 119947 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-babel.a0b34017.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/chunk-vue.9b90795f.js HTTP/1.1" 200 121749 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-vue.9b90795f.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/css/index.ee823224.css HTTP/1.1" 200 69339 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/index.ee823224.css"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/css/cart~discountCard~index~lotteryProductView~lotteryView~pageView~personalPage~product~productSale~pro~4dc869bb.91621c9f.css HTTP/1.1" 200 11600 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/cart~discountCard~index~lotteryProductView~lotteryView~pageView~personalPage~product~productSale~pro~4dc869bb.91621c9f.css"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/chunk-lottie.33028f8f.js HTTP/1.1" 200 253349 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-lottie.33028f8f.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/cart~discountCard~index~lotteryProductView~lotteryView~pageView~personalPage~product~productSale~pro~4dc869bb.b9616104.js HTTP/1.1" 200 46988 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/cart~discountCard~index~lotteryProductView~lotteryView~pageView~personalPage~product~productSale~pro~4dc869bb.b9616104.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /dist/js/index.bf44575d.js HTTP/1.1" 200 113438 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/index.bf44575d.js"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /config/shop-jssdk?url=http:%2F%2Fapp.dev.com%2F HTTP/1.1" 200 86 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.570"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:30 +0000] "GET /favicon.ico HTTP/1.1" 200 318 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/favicon.ico"
172.17.0.1 - - [09/Dec/2019:06:18:31 +0000] "GET /site/banner-list?tab=tab1&viewtime= HTTP/1.1" 500 2349 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.700"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:31 +0000] "GET /site/popup-list?client=web&viewtime= HTTP/1.1" 500 5227 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.930"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:31 +0000] "GET /search/key HTTP/1.1" 200 81 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 1.070"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:31 +0000] "GET /user/info HTTP/1.1" 200 91 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 1.270"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:31 +0000] "GET /cart/count HTTP/1.1" 500 2606 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 1.520"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:32 +0000] "GET /cart/count HTTP/1.1" 500 2606 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.500"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:34 +0000] "GET /dist/css/chunk-swipe.3755cb66.css HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/chunk-swipe.3755cb66.css"
172.17.0.1 - - [09/Dec/2019:06:18:34 +0000] "GET /dist/css/app.8f753023.css HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/app.8f753023.css"
172.17.0.1 - - [09/Dec/2019:06:18:34 +0000] "GET /dist/css/index.ee823224.css HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/index.ee823224.css"
172.17.0.1 - - [09/Dec/2019:06:18:34 +0000] "GET /dist/css/cart~discountCard~index~lotteryProductView~lotteryView~pageView~personalPage~product~productSale~pro~4dc869bb.91621c9f.css HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/cart~discountCard~index~lotteryProductView~lotteryView~pageView~personalPage~product~productSale~pro~4dc869bb.91621c9f.css"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET / HTTP/1.1" 200 1897 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" 0.460"/work/aplum_www/web" "/index.php"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/css/app.8f753023.css HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/app.8f753023.css"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/js/app.c1cb0639.js HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/app.c1cb0639.js"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/css/chunk-swipe.3755cb66.css HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/css/chunk-swipe.3755cb66.css"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/js/chunk-babel.a0b34017.js HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-babel.a0b34017.js"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/js/chunk-vendor.6313447a.js HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-vendor.6313447a.js"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/js/chunk-swipe.205be520.js HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-swipe.205be520.js"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/js/chunk-vue.9b90795f.js HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-vue.9b90795f.js"
172.17.0.1 - - [09/Dec/2019:06:18:43 +0000] "GET /dist/js/chunk-lottie.33028f8f.js HTTP/1.1" 304 0 "http://app.dev.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" "-" -"/work/aplum_www/web" "/dist/js/chunk-lottie.33028f8f.js"
